# ICD-10-CM FY2026 reference data (public domain, NCHS/CMS).
# Bundled subset: F01-F99 (mental/behavioral) + Z55-Z65 (psychosocial circumstances).
# Generated data — do not hand-edit. Columns: code, billable (1/0), category, description.
code	billable	category	description
Z63.79	1	Other problems related to primary support group, including family circumstances	Other stressful life events affecting family and household
Z63.8	1	Other problems related to primary support group, including family circumstances	Other specified problems related to primary support group
Z63.9	1	Other problems related to primary support group, including family circumstances	Problem related to primary support group, unspecified
Z64	0	Problems related to certain psychosocial circumstances	Problems related to certain psychosocial circumstances
Z64.0	1	Problems related to certain psychosocial circumstances	Problems related to unwanted pregnancy
Z64.1	1	Problems related to certain psychosocial circumstances	Problems related to multiparity
Z64.4	1	Problems related to certain psychosocial circumstances	Discord with counselors
Z65	0	Problems related to other psychosocial circumstances	Problems related to other psychosocial circumstances
Z65.0	1	Problems related to other psychosocial circumstances	Conviction in civil and criminal proceedings without imprisonment
Z65.1	1	Problems related to other psychosocial circumstances	Imprisonment and other incarceration
Z65.2	1	Problems related to other psychosocial circumstances	Problems related to release from prison
Z65.3	1	Problems related to other psychosocial circumstances	Problems related to other legal circumstances
Z65.4	1	Problems related to other psychosocial circumstances	Victim of crime and terrorism
Z65.5	1	Problems related to other psychosocial circumstances	Exposure to disaster, war and other hostilities
Z65.8	1	Problems related to other psychosocial circumstances	Other specified problems related to psychosocial circumstances
Z65.9	1	Problems related to other psychosocial circumstances	Problem related to unspecified psychosocial circumstances
